,listing_id,id,date,reviewer_id,reviewer_name,comments
10341,34330970,1377532452,2023-09-17,536393661,Robert,It was perfect get away spot for me and my girlfriend. Felt like we separated from world when we stepped in the apartment.
3461,11639446,464577691,2022-06-25,378680616,Cory,"Fantastic host; very friendly and communicative (and a good chef, to boot)! The room was small, but had everything thing I needed and was quiet which allowed me to work and sleep without distraction. I will return there if necessary."
20318,-2060133216,1178529118,2023-07-14,505401421,Quinn,Great spot!
11096,38321579,-1392354353,2023-10-26,414682721,Sue,Great place to stay!
20681,-553884809,746997289,2023-02-27,7914282,Arian,"I travel to Albany, NY for work regularly and have stayed in many hotels and rentals. This is my second time staying in one of Scott’s air bnbs and I am once again very impressed. Everything was brand new, renovated, and squeaky clean. Scott was once again very friendly and easy to deal with. There’s a washer and dryer which was awesome. Most places I’ve stayed in around Albany didn’t have access to that amenity. There’s a great little cafe just up the block that I walked to. Parking on the street was really easy (just read signs.) I’ll most definitely return to this location for future trips."
9367,32993402,491704697,2019-07-20,208751174,Kim,The location for events at Times Union Center was perfect. We were able to walk. The host was very responsive.
221,1489424,-1499830940,2023-08-21,8386619,Anna,"Albany è stata la prima tappa del viaggio on the road nello stato di NY, e abbiamo passato una notte da Efrat. Ottima accoglienza, stanza pulita e ordinata. È stato bello fare colazione con Dan e fare quattro chiacchiere."
10001,33558235,132710114,2022-03-15,92805697,Nicole,Great value and Easy check-in. Will definitely stay again!
18153,-134757179,1430187105,2022-12-04,326170719,Olivia,I stayed here for one night with a friend and the place was exactly what we were looking for. It felt secure and comfortable and would recommend to anyone staying in the area!
17631,54126427,1269651558,2022-03-27,40400106,Todd,Great place.  Sparkling clean. Walking distance to both the park and Lark Street. We’ll look to stay at this spot again when we are next in Albany.
21397,-139713629,65066119,2023-08-26,530337584,Papa,Good
16392,52359404,-1876330176,2023-08-21,519250773,胡晓宁,这是一套非常宽敞的标准的3卧室，厅和厨房很宽敞，床很舒服，很安静，房东提供了一切，包括品质很好的纸巾，值得推荐。
13973,46894493,730562561,2021-02-12,383938615,Jay,"This is a perfect place. Cozy and beautifully decorated bungalow. Great location. Stayed for 5 days and walked to dinner, with several great options. And central to drive to anywhere within few miles. Dan made it easy and was a great host with anything we needed. Came by and shoveled the snow for us. Awesome place just sad I couldn’t stay longer.   Highly recommended."
14754,48124042,-1281609231,2021-10-19,185241933,Alena,"Cool place and hoste , apartment was clean and beautiful, we have a great time)"
9981,33558235,1026114601,2022-01-02,260844832,Edward,Great!
12064,40897436,598000759,2020-01-26,236433601,William,"quaint cozy place, classic architecture"
15336,50211226,-1681900691,2022-08-16,430448910,Lauren,"Great apartment! Very clean, comfortable, and in a fantastic location for sight seating. Jake and Kate are fantastic apartment owners and will make sure your stay is nothing less than perfect."
20594,-713543463,1287134465,2023-07-23,526366330,A,"The apartment was very nice, and clean. I asked Queen for restaurant recommendations, she was very responsive with good local recommendations. I would definitely look for availability if I was in the area again."
1684,9005989,229424136,2018-01-23,135436600,Melina,Sue was very accommodating and flexible with our check in time. Thank you for let us stay in your home. Melina
10115,33558235,990399200,2023-10-09,474140554,Ariadna,"We had Good Time in Albany, the apartment was spacious and clean, the location was very convenient to us.<br/>The only problem we had was the Check In Time. I asked Earl  when I did the reservation we needed to get in the apartment at 12 Noon,  but unfortunately when we arrived to the building he didn’t let us in till 4:30 PM. He allowed us to drop off the luggage in the boiler room but he asked  is to leave the building. It was raining and we didn’t have a place to go.<br/>The smoke alarms were not there,"
20466,1268340907,-1407390826,2023-05-21,391206941,Dwayne,This place was beautiful didnt stay long to fully grasp the full expirience. It was easy to find and get inside. The beds was very comfortable.
10978,38321579,-956902765,2022-08-04,414682721,Sue,Great stay!  I am a frequent guest because Diana’s a great host!
19112,831601866,2118000577,2023-04-29,6761644,Kristian,"Place was better than the pictures. love the garage to park. very much worth the value. only negativewas that I reached out a few times for minor things and no response, but I would definitely stay again."
6590,25549565,357545116,2018-12-10,229127050,Young Jae,great location. place was clean and had amenities and stated in the description.
16537,52611613,-1631688381,2022-02-19,24777157,Cody,"This place was perfect for a weekend getaway exploring the area. Easy access, great location, convenient parking. Well equipped kitchen. Clean and comfortable. Would gladly return."
7337,26139592,652203513,2020-08-16,195841753,Christian,Excellent place to stay. The location is very central with downtown and empire plaza within two blocks. the apartment is very clean and has a very nice feel. would definitely stay here again.
17273,53567589,-1700160717,2022-08-18,393269563,Matt,"This is a great place to stay in the Albany NY area. Brian is an amazing host who communicates with you before and during your stay to make sure the whole process is seamless and straightforward. The check in and out process couldn’t have been easier and the rental itself is accurate with the pictures. It is a very nice place to stay with a location offering many places to eat, drink, and shop all within walking distance."
3947,16531782,665408907,2020-09-18,249549094,Talib,10/10 would recommend! Very clean and comfortable.
8842,28868857,1205377489,2022-10-15,203872691,Wayne,Nice place but neighborhood is kinda iffy.
19164,-841767975,1810022999,2023-05-08,341607777,Earline,"Wonderful  place, I will be going back again"
4902,20620135,-1213703531,2022-12-31,228084702,Scott,"Neighborhood is close to everything you could need, and Peter is a very responsive host."
9924,33558235,767331794,2021-06-06,299508040,Sean,We loved Albany
9140,32279028,438357559,2019-04-16,209557160,Samantha,"it was a beautiful home, had the best feel around it and diana's been such a wonderful host! i stayed briefly so i could go around albany a bit more before leaving today, and diana gave me some museum recommendations and told me about the capitol. she's a great conversationalist and really loves art. she provided me anything i needed. her cat is so sweet, and if you dont like cats (why wouldnt you?), he leaves you alone if you leave him alone. such a quiet area, but the art is so loud and beautiful in her home. and, its such a great price. i would DEFINITELY stay again if i ever need to!"
6951,25549565,4700612,2021-11-27,35011062,Jenny,"Perfect space to stay in while visiting local family. It’s a tiny space, but find for 2 people and our dog. Full of light, clean, and well maintained. Small fridge is pretty powerful- so don’t turn setting too low or all your food will freeze! 2 hour street parking can be a pain when it’s not a holiday or weekend, but there are always spots in the park. Convenient to food, parks, highways. The hosts live right upstairs and although you can hear “movement” upstairs, it wasn’t disruptive or loud. The entrance is a shared downstairs entry that leads up set of stairs into their living space, so just don’t let your pets off leash when you’re heading out through the entry way!  Hosts are very friendly and quickly responsive. Would stay there again!"
7779,28519423,1668474332,2023-09-04,359574214,Ibn,Great house and person
13488,45313545,297632060,2023-01-16,12530131,Kate,"Great location and easy check-in. Kori was easy to communicate with and changed around construction that started after we arrived in order to work with our schedule, which we really appreciated. As others have noted, this is the first floor of an older house so you do hear upstairs neighbors coming and going -- it didn't bother us (and we were out and about most days anyway) but worth noting if you have a particular need for quiet. Kitchen is spacious and the bed is comfortable!"
8973,29605579,426598853,2019-03-21,173394146,Brett,"Terra’s place was outstanding sparkling clean! She was also very easy to talk and responded very fast! The apartment was spacious, comfy and again, very clean. My wife was really impressed by the big bathroom and very much enjoyed the memory foam bed. We will definitely be booking Terra’s place again the next time we hit up the Albany area."
14198,47334913,-642140063,2022-08-07,19723335,Duncan,"Lovely clean apartment with huge gas stove (if you do wish to cook). The outside, especially the back, doesn't do it justice inside. A really comfortable place to stay with great communication from Allen. Recommended"
6892,25549565,-494481102,2021-07-22,29902563,Jarrod,Janet’s spot is the perfect spot for a quick getaway and is located in the best area of Albany. You can walk to everything and the Airbnb had everything I needed to make my stay comfortable. Highly recommend if you’re looking to stay in downtown.
19749,-2077990776,-322961249,2022-10-11,172392447,Aaron,"Great spot. Everything was as posted, very easy stay in a beautiful building…"
4072,16531782,-406863062,2022-05-05,64946,Sean,Elizabeth's place is great.  She was very accommodating to me as I booked on short notice.  Her communication was very good. The area that the house is in is very nice.  The room is perfect for one or two people.  It was clean and comfortable.  I would definitely stay here again.
5168,21392315,618600969,2020-03-15,91518130,Vincenzina,"Great accommodation,  really great value for money, thank you."
8821,28868857,1683885423,2022-08-21,425923229,Andrea,Responsive host and the perfect spot for our stay.
17739,54150131,1898510131,2022-11-21,39290484,Rachel,"Great spot! Really clean, lots of nice thoughtful touches, excellent location"
12829,44180048,-1441392110,2022-04-17,27998497,Victoria,Great host. Loved the place. Would definitely stay there again.
18136,-134757179,2071344392,2022-05-29,275269503,Sara,Diana was an amazing host and was very communicative to our needs. The place was really nice and comfortable for us and we enjoyed our stay. Had everything we needed and extra touches that were nice. Thank you!
866,5651579,-72780638,2023-06-24,62585053,Steve,Quaint basement space.  Wish there had been comfortable sitting space. Everything else was very nice.
1483,8915877,327283554,2018-09-23,11189634,Bob,"This was my second stay here and it was just as good as the first time. Easy check-in, comfy and quite spot in a great location within walking distance to restaurants, cafes and bars."
17277,53567589,518998749,2022-08-27,456288353,Carson,"Nice place, clean, easy to get into, spacious"
19984,-1822297372,842954816,2023-05-14,113277143,Travis,Timothy was a wonderful host and the accommodations were lovely. You won't regret your stay here!
14030,46894493,-987525278,2021-11-17,337985616,Fletch,"Perfect spot for a quick get away. Evening in Albany. Conveniently located close to downtown and 90. House is lovely, very quaint. Quiet neighborhood, nice eateries in walking distance."
17462,53645427,769617409,2023-10-23,92136010,"Abraham, Joshua, I Use My Mdl Name",we were happy with our Stay location was good… And she was very helpful and responsive
8124,28722270,731589822,2021-02-15,202685377,Shane & Margaret,"Geat location, easy parking, good communication."
14396,47440071,-385887798,2023-03-12,70567465,Jon,Lovely!
4156,16531782,476470467,2023-02-27,371861481,Robert,"Nice neighborhood, good space for the price. Proximity to many locations is good"
10062,33558235,-457941631,2022-11-13,407905191,Siraj,"Earl was quick to respond and made check in and check out an ease. My band came to Albany just for a night to play one show, and this space was exactly what we needed. Clean, spacious, easily accessible, and very close to where we were playing. I would definitely stay here again."
19031,-138713049,-1362294100,2023-06-30,65088725,Justin,"Nice place, as described, perfect for what we were looking for. Excellent communication."
1063,6623339,314363144,2018-08-26,191539723,Vitaly,exactly as described<br/>
15970,51710034,-742476102,2023-11-12,239385385,Max,"If you want to be near the state capitol, the state museum, the Empire State Plaza, etc., this is a great spot. It's also close to the restaurants and bars on Lark Street.  And it's in a cool early-20th-century building with a neat old elevator. The apartment looks nice, is clean, has all the listed amenities, and has an amazing view and lots of sunlight. The host responded quickly to questions, and was very flexible about my checkout time.<br/>However, the building next door was being renovated while I was there, and there was construction noise every day -- including loud noise on Saturday and Sunday starting around 10am.  In fact, one day there was loud construction noise, followed by a parade with marching bands, followed by a 3-hour political protest! So maybe not the best apartment for sleeping late, or for getting work done, if those are important to you.<br/>One other issue: The radiator in the living room worked OK, but the one in the bedroom didn't give much heat."
8777,28868857,2104423297,2022-05-09,163824723,Elijah,I enjoyed my stay here! This definitely beat staying in a hotel.
15798,51560588,-1113341839,2022-09-16,125066592,Donald,A comfortable sitting area would have been nice but being small would have been difficult.
10418,35793179,179214553,2022-01-07,436646168,Valerie,Ed and his wife were great hosts.  I would highly recommend for anyone looking for a cozy comfortable room in close proximity to downtown Albany.  Felt like home away from home.
17892,54369240,213894993,2023-07-28,155913957,Alex,"I had great stay at Allen’s apartment; it had everything I needed, was located near local restaurants & cafes, and within walking distance to Albany Law School and Medical Centers. Check in was very easy and Allen always responded promptly."
13106,44265426,-329180952,2022-01-09,93519112,Darryl,"Lloyd's place was pretty good! Check-in was super easy and convenient. Lots of space in the living room to relax, smart TV, spacious bedroom, and the area of historic place was fairly quiet. It's also just around the corner from lots of stores and restaurants. Next time I'm in Albany, I'll definitely stay there!"
5227,21449583,266694173,2018-05-20,50775467,Jessica,"We really enjoyed our stay at Piotr's place in Albany. The house was clean and provided more than enough space for us. We appreciated Piotr's flexibility with our check-in/out times, and how responsive he was to messages/requests. The location is great -- walkable to CVS,  coffee shop and several other places to eat. Would definitely consider staying there again if/when we are back in the area. Thanks!"
2687,10768745,417565098,2019-02-27,20104824,硕(Michelle),"Liz is a perfect host! The studio is independent and stylish, and Liz is always willing to help."
8196,28722270,736886447,2021-07-21,49260260,Adrianne,Nice place for a one night stopover! Downtown shuts down at night but we found a casual thai restaurant nearby that was quite good!
10515,35793179,-776619496,2023-12-06,343717892,Nahum,"This was a great stay. 15min walk to AMC and free parking. The house was very beautiful. The hosts communicated very timely and kindly. I was able to easily self-check-in and self-check-out. The room I was in was the right size for a single traveler. There was a TV w/ Roku and free WiFi. The bathroom was good too. Overall, a 5/5 experience for me. Recommend it."
14774,48124042,96612156,2022-02-07,48598092,Brittany,"Location downtown is within walking distance of many businesses + restaurants. The place was clean, beds were comfortable. Communication with Dillon was easy and he accommodated some schedule changes which we really appreciated! Great value - would definitely stay here again. ⭐️⭐️⭐️⭐️⭐️"
7015,25549565,1290196346,2022-04-24,455225547,Marion,Great small stay in a great location walking distance from downtown. I would definitely recommend it! Well price too.
9059,30189794,717702234,2020-12-23,84740556,Marc,Bela and Laurie have a beautfiul historic home in a convenient location.  The suite I stayed in was very well kept.
2325,9501054,344027326,2018-11-02,44851919,Ian,"Great value. Big room! Super clean, and great location."
3208,11253948,765644862,2021-06-02,2126994,Andres,Amazing Amazing Amazing.  Place was great. Peter was very attentive and responded relatively quickly to any of our questions. The place is beautiful with clear thought as to minor details.  Very comfortable and quiet and with lots of privacy. Will definitely be staying again. Highly Highly recommend.
15435,50211226,355933337,2024-01-22,283525183,Zaira,"Definitely a place I would come back too. I often come to Albany just to getaway and relax and I was able to do just that here. My number one frustrating thing is parking, but here, parking was not difficult to find. And it’s also close to my favorite local pizza shop. The only thing is it does get chilly inside sometimes."
980,6623339,203805551,2017-10-15,44314142,Christopher,"Communication was horrendous, host never replied to my several messages asking about how to get the key. Finally did a couple hours before my check in. Other than that, the apartment and location were awesome."
6490,25549565,277133731,2018-06-15,4851906,Cameron,Beautiful spot in a cool part of town. Janet was very kind. Perfect for visiting Albany.
21981,-2023408415,-1174943789,2024-02-25,550092507,Nick,"Great location, great host…. Had a minor problem at 11 pm messaged host through the app issued resolved in under 5 minutes(thanks again)… it is on a busy street definitely hear some minor road noise but not enough to be an issue"
10835,38321579,533397886,2019-09-21,102792065,Joey,A nice quiet space with wifi. Diana was very kind. I strongly recommend this airbnb.
11848,40491172,-713617239,2021-10-23,40709692,Laurie,Very nice place and was exactly as pictured. Had small problem with refrigerator and Allen came over that day to fix it. Would definitely stay again when visiting family.
2247,9501054,246878625,2018-03-26,78840862,Jim,"Really is a HUGE room. Very clean. Fridge & microwave, good internet, work space with desk. <br/> On a winter weekend with temps in the 30s & low 40s, it was  a little chilly in the room. Space heater available, but not large enough to compensate for little or nothing from radiators. <br/>Parking was as promised (""plenty on the street nearby"") Friday & Saturday, but a nightmare on Sunday, when only residents are allowed to park for more than 2 hours on weekdays. And finding a space Sunday night was a only by luck within a 6 block area. You're good if it's only a weekend. Weekdays, no."
1027,6623339,239174141,2018-02-28,1047550,Gedas,"The place is cool, spacious, cozy and comfy, next to the restaurants. It has everything you need for a short stay. Check in was smooth and simple. Terra and Hannah were excellent hosts, responsive and willing to go extra mile in need of their guests. Thank you!"
11074,38321579,-903507694,2023-09-04,40987363,Mohsen,"I had a delightful time staying at at Diana’s house. She possesses all the qualities for being a great host; responsive, supportive, and easy to talk to and to get along.<br/>This is more than a rental room, you are entering a house that has artistic spirit attached to it.  I loved my stay and hope to come back."
13572,45528939,774565913,2021-10-18,338907104,Devonte,"Place of stay was amazing, her communication skills are 10/10. Entering is self explanatory and you’ll feel very comfortable as if your at home."
7033,25549565,-1062679822,2022-06-01,40294582,Hannah,Comfy stay! Thankful for the AC and Janet was a great communicator and made check in easy.
20627,1577921762,-88364375,2023-07-17,7309792,Matt,Hosts were responsive and very gracious and obliging - thank you!
20641,98245990,-1967158995,2023-08-25,227254999,Wyatt,"This was a great stay for a couple of nights, relatively last minute. Donna herself was very kind and welcoming, and though minimal, it’s exactly what you’re paying for: comfortable and straightforward. Expect loud barking and calling after a dog in the morning, neighborhood things like that. But overall, a good value and I recommend staying here if you need a place for a short-term trip."
9854,33558235,637383736,2020-07-12,61581725,Mamadou Sire,It’s a great place
15730,51230498,-1153740517,2024-01-20,556219344,Grace,The place was so cute and beautifully decorated. Sonya is so sweet and responds fast.
12745,44180048,-881289335,2021-07-09,43071992,Alberto Josue,"Stay at Lloyd’s place was fantastic. Albany downtown is just waking distance. Amazing restaurants, and a wonderful park in front of the house.  <br/>Something that I loved is all the little details that make our stay awesome."
8048,28722270,641405202,2020-07-23,356679625,Maysun,"Beautiful place, cozy place"
17861,54369238,853453938,2023-09-20,12234969,Elizabeth,"Allen's place is clean and quiet, and well equipped. The back patio was a very nice touch... a peaceful place to hang out. <br/>The neighborhood is quiet and there were some cute food places in walking distance. Allen responded quickly and it was an easy, stress-free stay!"
14733,48124042,-167827454,2021-08-10,213848130,Kirk,Great place!!  Excellent value!  Good host!!
8583,28868857,596069067,2020-01-21,122290075,Hoanh,The place is cozy and comfortable as I would expect.
10134,34330970,494620079,2019-07-24,143720902,Zack,Fantastish
5194,21392315,1067786634,2022-02-21,214923544,Theresa,Wonderful little place  in the heart of Albany. The hosts are super nice and welcoming. The place is very clean and as cute as the pictures. Will definitely come back!
10466,35793179,-1764320987,2023-01-19,408913284,Koen,"Very clean and tidy place in a safe neighborhood, with ample parking space. Ed and his wife are also very helpful and provide a lot of information on where to go in Albany. Would recommend."
1457,8915877,232329366,2018-02-04,22507601,Scott,Great house and location. Would stay again!
2789,10768745,628769558,2020-06-10,5403675,Brandi,Charming and a great value. Check in was simple. This was our second time. There may be more!!
13093,44265426,337869255,2021-10-31,214717685,Steph,"We had a great time at Lloyd’s Airbnb! It was super clean and felt like a home away from home. The apartment is on a charming street and in a beautiful brownstone. So picturesque! <br/>Lloyd is an excellent communicator and was lovely to work with. I definitely recommend staying here. Thanks so much, Lloyd!"
13551,45528939,763089009,2021-05-27,52705420,Julia,"Linda's place was clean, easy to find, and just as cute as the pictures look! Made our stay in Albany very easy and would absolutely book again."
20535,1139812166,442987094,2023-06-12,135008191,Shelby,"Hasan was responsive when messaged and extremely flexible and helpful. The apartment is clean, comfortable and quiet- felt very secure staying here. Would recommend his place to anyone and will return when in the area."
2250,9501054,251789307,2018-04-08,134860139,Renata,"This was close to the venue we went to see a concert at. However the carpets clearly hadn’t been vacuumed. There was an ear plug, gummy, and sock on the floor. And there was a mess when we first walked into the apartment. Probably wouldn’t stay again."
15893,51592836,-1268889966,2022-05-02,95703432,Michael,"Great architectural features! Good location to explore the Downtown Albany area including the new “park”<br/>Close to Troy, Saratoga and neighboring Mass<br/>PS<br/>(By the Weight) nice grocery store in the area"
474,3820211,306330159,2018-08-12,11375563,Megan,Place was perfect for a quick stay. Bed was a little hard but might be fine for someone else!
4048,16531782,-1572745040,2022-01-09,68073510,Amanda,"Elizabeth’s house is so cute and historic, as well as the property. Parking was very easy and the location is very private, but close to everything in Albany! We would absolutely stay again."
11853,40491172,333026648,2022-02-28,434675854,Judith,"Lugar confortable, limpio, con lo necesario para atender cualquier necesidad del huésped , excelente comunicación y atención ."
1642,9005989,194813445,2017-09-17,62178994,Kristin,"Gordon and Sue were great hosts! My boyfriend and I were in Albany for a jiu jitsu tournament at the Armory. The apartment is within walking distance to the armory and is just around the corner from tons of great restaurants. We didn't have any issue finding street parking on a Saturday morning. The apartment was clean, well decorated, and comfortable. I highly recommend staying here!"
5621,22431640,367329571,2019-01-04,232737183,Danielle,"I stayed here for an interview at the hospital. It was a perfect location with plenty of parking. It was clean, quiet, and beautiful. Highly recommend!"
503,3820211,426583077,2019-03-21,41109480,Sarah,"Listing was just as described. Check-in and access to the building were easy. Host communicated everything the day of check-in. Had all your basic amenities and was perfect for a night stay! It’s right on a main road & close to quite a few bars, which are open LATE, so it can get noisy. Also the building has pretty thin walls. Could hear neighbors laughter & music until pretty late into the night. There must be some sort of shared vent system (old building) because the whole bedroom smelled pretty herby/skunky when we got back from our concert. It wasn’t an issue for us, but I know some people are sensitive or take issue with that type of activity. Great location. Really close to late night pizza, cafes, and plenty of bars and restaurants. Washington park is super close by which is nice to walk through. Empire plaza is within walking distance. All in all it was definitely an acceptable stay for us!"
6715,25549565,489893761,2019-07-17,85199540,Liliya,"Very comfortable bed, nice space, and has everything you need including coffee and a coffee maker and a small fridge. It's in a cute historic neighborhood, and the A/C was especially welcome in the summer heat and humidity."
13909,45804322,1902150851,2023-02-19,133792790,Annie,I love Emilie's place.  It is warm and comfortable.  I have been here before and it feels like home.  She is a wonderful host who goes out of her way to make the guest's stay a great experience in a nest of comfort.
19843,-2077990776,-1667655317,2023-10-02,113268835,Xanthe,Unique place with a private art gallery!
6126,24606880,1369710821,2022-10-01,438101921,Vanessa,"My 3rd stay , no issues , will be returning."
15467,50639032,-820789359,2022-07-25,469881489,Anita,"A delightful stay in a sparkling clean room. Big window overlooking shady garden. Quiet, safe, private. Excellent for solo travellers."
13549,45528939,759106608,2021-05-16,399274582,Jordan,Great stay!!
247,1489424,171790211,2024-02-27,548773017,Xinyu,房东人很好，房间在地下室，很大很整洁，房东也很耐心，有什么问题他们会及时回答你，并且也好相处。是很棒的体验，下次还会再来住的。
1572,9005989,121734555,2016-12-18,105077675,Jonathan,Sue's apartment is a must when visiting Albany. It is a very clean and cozy apartment to relax and unwind and is located in a nice part of the city! She was very accommodating and responsive. Definitely would recommend this place to others.
3525,12284708,164779929,2017-06-29,84004934,Danxu,"The room is clean and cozy, it's very comfortable and our host is so nice and kind, I will recommend this to my friend."
21348,-1640222172,250990285,2023-09-04,502580190,Landon,"Easy stay in nice, clean place, had a lot of cooking items and amenities."
12527,43736299,1628456320,2022-05-24,35102251,Brittany,It was a great stay no complaints. I had my two kids with me and they loved it. The area was perfect for us and the beds were so comfy I didn’t want to get up.
3974,16531782,749978305,2021-04-18,395783747,James,We felt safe and secure in a lovely neighborhood that was easy to find!
8393,28722270,2047812190,2024-02-09,551211126,Ginnie,Great Host available 24/7!
19803,-2077990776,-726873529,2023-06-27,368943624,Nilda,"I have traveled to many destinations ... and I have dealt with many people ... but never like DAVID AND ADAM ... I BEGIN THAT THE APARTMENT IS SPECTACULAR ... the people who live in it treat you like family ... ADAM TREATED US WONDERFUL AND WE WERE ALLOWED TO ENTER EARLY..., cleanliness...organization and location make it possible for you to enjoy Albany at its best...I CANNOT WAIT TO GO BACK"
17448,53645427,-352733977,2023-06-06,423139713,Marissa,The place is more beautiful in person. Pictures do not do it Justice!
6267,24655782,493557941,2019-07-22,277155318,Megan,Jake responds to all messages in a timely manner. The apartment was clean and pleasant to stay in. Would definitely stay here again!
8565,28868857,569433353,2019-11-26,243237466,Willemijn,I really enjoyed my stay at this airbnb. Earl is very friendly and he wants to make sure your stay is perfect!
9201,32279028,-946713926,2021-07-08,76132727,Anar,"Diana is a wonderful host. Her place is very clean, comfortable and located in a very nice and safe area. She was super nice to check me in very late on July 4th. Communication is quick. I would recommend her place to anyone and would definitely stay again."
7806,28722270,400300071,2019-01-11,234827743,Jeanna,This is a great place to stay in Albany! Earl was quick to respond and very helpful. The whole process was really easy and a great experience all around. Definitely would recommend!
14760,48124042,-432663753,2021-11-14,28592317,Kristin,Dillion’s place was perfect! It was so clean and check in was effortless! The four of us were able to comfortably move around each other as we got ready for the wedding. Communication was great! I HIGHLY recommend staying in one of his places if your travels bring you to Albany! You will not regret it!
5792,22431640,715599576,2020-12-14,53506483,Ally,Great second stay! Jake is very helpful and thoughtful! Would highly recommend!
16924,52863776,92846269,2022-04-11,449298337,David,"Great Location, comunication and reasonably priced. Extremely clean and well set up. Would highly recommend. Thanks"
14366,47440071,-1805191783,2022-05-16,393731528,Michael,"Beautiful home & amazing host! Definitely would recommend staying. Thomas was very accommodating, kind, and always reachable for any questions or concerns."
7858,28722270,434327717,2019-04-07,121103928,Walter,"The space is perfect for 2 people. Small space on tip floor of a townhouse walking distance to Times Union Center and downtown Albany. A great value if staying in Albany. It was a great value and what I expect from an AirBNB host. Clean, easy and a good value."
4325,17238066,801454580,2021-06-26,404852644,Errico,Another great stay at Adam's place. Adam continue to be an exceptional host. I worked the  night shift and Adam prepared me breakfast in the afternoon to accommodate my schedule.
11262,39836487,-1880555025,2021-06-29,34624787,Dave,"Great location, great price, really easy, and I could get used to living on top of a pizzeria - thanks Adem!"
10007,33558235,1056731540,2022-04-03,305945018,Arthur,"Very clean, and the beds were super comfy. Great place to stay would recommend."
971,6623339,198831691,2017-09-30,20808401,Kurt,Terra's place was in the perfect location of Albany! Super trendy apartment that was modern and clean! Highly recommend!
